thread 140554311821056 bind to cpu 10.
thread 140554303428352 bind to cpu 12.
thread 140554286642944 bind to cpu 16.
thread 140554295035648 bind to cpu 14.
thread 140554261464832 bind to cpu 22.
thread 140554269857536 bind to cpu 20.
thread 140554278250240 bind to cpu 18.
thread 140554253072128 bind to cpu 24.
thread 140554244679424 bind to cpu 26.
thread 140554236286720 bind to cpu 28.
write down.
stop.
Thread 4: thread quit, during 0 us with 0 indexes.
Thread 7: thread quit, during 0 us with 0 indexes.
should stop
Thread 5: thread quit, during 0 us with 0 indexes.
Thread 9: thread quit, during 108392 us with 28338 indexes.
Thread 0: thread quit, during 114395 us with 28338 indexes.
Thread 2: thread quit, during 114234 us with 28338 indexes.
Thread 3: thread quit, during 115409 us with 28338 indexes.
Thread 1: thread quit, during 117215 us with 28338 indexes.
Thread 8: thread quit, during 116944 us with 28338 indexes.
Thread 6: thread quit, during 128526 us with 28338 indexes.
ID 0.
457116 6227
386498 6227
380404 6227
353249 6227
284138 4988
198021 3484
26543 472
352375 6227
316694 4988
501 5
381655 6227
397511 6227
411 3
353801 6227
282796 4988
354437 6227
283798 4988
341 3
354809 6227
313791 4988
383166 6227
305133 4988
353584 6227
283397 4988
352586 6227
386379 6227
292 1
297878 4988
395328 6227
306269 4988
381784 6227
282002 4988
352888 6227
283496 4988
354160 6227
407 5
354394 6227
378549 6227
382751 6227
392011 6227
353567 6227
282888 4988
354123 6227
353457 6227
352876 6227
392224 6227
382355 6227
388027 6227
372719 6227
351781 6227
353874 6227
354557 6227
373456 6227
384721 6227
383346 6227
353144 6227
353303 6227
352004 6227
353678 6227
353305 6227
411270 6227
382479 6227
3726 58
3641 58
3620 58
3647 58
3662 58
3638 58
3649 58
3635 58
3592 58
3623 58
3649 58
3659 58
3669 58
3686 58
3608 58
3637 58
3642 58
3609 58
3557 58
3648 58
3648 58
3590 58
3563 58
3647 58
366229 6227
3495 58
353672 6227
284034 4988
371797 6227
372025 6227
318738 4988
382665 6227
307652 4988
352639 6227
283830 4988
353511 6227
283646 4988
353697 6227
283466 4988
380817 6227
305751 4988
387768 6227
298112 4988
373133 6227
297957 4988
371840 6227
298822 4988
382289 6227
307244 4988
386711 6227
298390 4988
376623 6227
283208 4988
353606 6227
282745 4988
397779 6227
306280 4988
398520 6227
283098 4988
352993 6227
282388 4988
352950 6227
284761 4988
385784 6227
305529 4988
394520 6227
283878 4988
353877 6227
282885 4988
354868 6227
297568 4988
395521 6227
306798 4988
383227 6227
282927 4988
3457 58
355079 6227
281699 4988
353366 6227
284029 4988
354073 6227
297512 4988
373111 6227
300763 4988
353184 6227
283706 4988
353167 6227
284286 4988
355416 6227
284747 4988
354091 6227
283829 4988
384238 6227
297200 4988
377162 6227
282847 4988
355320 6227
286331 4988
353223 6227
284618 4988
353893 6227
284172 4988
353668 6227
282645 4988
376035 6227
299469 4988
373977 6227
284158 4988
353819 6227
353952 6227
354960 6227
284451 4988
197701 3484
26898 472
375144 6227
308216 4988
373018 6227
283353 4988
353846 6227
282480 4988
353695 6227
283404 4988
372166 6227
297453 4988
372416 6227
283571 4988
353033 6227
283190 4988
354576 6227
283510 4988
354784 6227
283668 4988
356576 6227
283794 4988
355026 6227
283273 4988
372393 6227
297432 4988
372000 6227
283085 4988
353873 6227
283252 4988
353435 6227
283206 4988
