thread 139715218421504 bind to cpu 16.
thread 139715243599616 bind to cpu 10.
thread 139715210028800 bind to cpu 18.
thread 139715235206912 bind to cpu 12.
thread 139715226814208 bind to cpu 14.
thread 139715193243392 bind to cpu 22.
thread 139715184850688 bind to cpu 24.
thread 139715176457984 bind to cpu 26.
thread 139715168065280 bind to cpu 28.
thread 139715201636096 bind to cpu 20.
write down.
stop.
Thread 4: thread quit, during 0 us with 0 indexes.
Thread 7: thread quit, during 0 us with 0 indexes.
Thread 5: thread quit, during 0 us with 0 indexes.
should stop
Thread 9: thread quit, during 108751 us with 28338 indexes.
Thread 0: thread quit, during 114982 us with 28338 indexes.
Thread 3: thread quit, during 114929 us with 28338 indexes.
Thread 1: thread quit, during 117904 us with 28338 indexes.
Thread 2: thread quit, during 117277 us with 28338 indexes.
Thread 8: thread quit, during 120010 us with 28338 indexes.
Thread 6: thread quit, during 128792 us with 28338 indexes.
ID 0.
681413 9399
539317 9399
573108 9399
572067 9399
507275 8472
519026 8472
29040 472
579557 9399
517976 8472
543 5
561576 9399
529198 9399
658 7
533060 9399
480294 8472
573294 9399
513269 8472
598 7
533110 9399
479192 8472
532038 9399
518625 8472
583997 9399
506125 8472
558139 9399
587163 9399
340 1
518483 8472
587593 9399
480301 8472
534172 9399
480473 8472
599121 9399
540022 8472
531579 9399
442 5
532453 9399
533766 9399
589853 9399
586188 9399
560187 9399
506447 8472
561543 9399
592141 9399
576106 9399
532516 9399
531500 9399
533404 9399
590024 9399
579870 9399
560902 9399
562195 9399
579306 9399
575479 9399
607251 9399
576245 9399
546724 9399
550982 9399
577608 9399
558791 9399
531923 9399
531512 9399
5527 94
5454 94
5356 94
5367 94
5430 94
5416 94
5437 94
5339 94
5356 94
5382 94
5424 94
5426 94
5418 94
5430 94
5387 94
5380 94
5343 94
5370 94
5386 94
5392 94
5374 94
5330 94
5357 94
5358 94
594055 9399
5907 94
576343 9399
479382 8472
533183 9399
530218 9399
508295 8472
560544 9399
479903 8472
559727 9399
505397 8472
550453 9399
505667 8472
547232 9399
515903 8472
558858 9399
519922 8472
574660 9399
517426 8472
576002 9399
477208 8472
531990 9399
477990 8472
531528 9399
479239 8472
532292 9399
479171 8472
567244 9399
504357 8472
532350 9399
504020 8472
583104 9399
505460 8472
533301 9399
478732 8472
532498 9399
477989 8472
530837 9399
504081 8472
555350 9399
499939 8472
559755 9399
490546 8472
531778 9399
478088 8472
531442 9399
478743 8472
532086 9399
512422 8472
560296 9399
479863 8472
5411 94
532376 9399
479541 8472
553670 9399
506155 8472
561101 9399
480617 8472
532367 9399
478790 8472
560749 9399
504772 8472
565637 9399
479333 8472
532667 9399
521159 8472
560262 9399
493576 8472
571231 9399
512287 8472
571690 9399
515433 8472
532762 9399
479995 8472
532324 9399
506013 8472
560924 9399
479260 8472
531375 9399
480138 8472
531564 9399
519690 8472
575413 9399
480747 8472
532958 9399
532354 9399
560825 9399
503804 8472
480466 8472
26753 472
532450 9399
479409 8472
575673 9399
540950 8472
561160 9399
527989 8472
575393 9399
520580 8472
560309 9399
497997 8472
533246 9399
480086 8472
564607 9399
505620 8472
534070 9399
479960 8472
532800 9399
499169 8472
561431 9399
504148 8472
546126 9399
480088 8472
531992 9399
506156 8472
561153 9399
479796 8472
533073 9399
479949 8472
570863 9399
504961 8472
